Input Size,Execution Time (ms)
150,23
300,29
450,29
600,27
750,31
900,44
1050,57
1200,66
1350,75
1500,83
1650,112
1800,113
1950,131
2100,162
2250,192
2400,218
2550,231
2700,308
2850,334
3000,368
3150,407
3300,510
3450,535
3600,591
3750,871
3900,1097
4050,1248
4200,1321
4350,1054
4500,1029
